id,created_at,ranking_position,title,artist,streams,genre,lyrics,album,year,duration_seg,language_variant,source,url_source,extra_data,lyrics_status,artist_gender
949,2026-03-06 18:51:17.941155+00,27.0,te fuiste de aqui,reik,269312.0,reggaeton,,,,224.0,es,youtube,https://youtube.com/watch?v=r_ocwYLqLTI,"{""pais"":""PE"",""posicion"":27,""thumbnail"":""https://i.ytimg.com/vi/r_ocwYLqLTI/hqdefault.jpg"",""like_count"":""492"",""es_infantil"":false,""comment_count"":""6"",""youtube_channel"":""RIXELUS"",""youtube_video_id"":""r_ocwYLqLTI"",""artistas_secundarios"":[]}",completed,
950,2026-03-06 18:51:19.672667+00,28.0,wo oh oh,omar courtz roa,5542384.0,reggaeton,,,,270.0,es,youtube,https://youtube.com/watch?v=nONFnjR5VFI,"{""pais"":""PE"",""posicion"":28,""thumbnail"":""https://i.ytimg.com/vi/nONFnjR5VFI/hqdefault.jpg"",""like_count"":""87671"",""es_infantil"":false,""comment_count"":""1928"",""youtube_channel"":""Omar Courtz"",""youtube_video_id"":""nONFnjR5VFI"",""artistas_secundarios"":[]}",completed,
951,2026-03-06 18:51:21.513452+00,29.0,las estrellas de la cumbia en vivo,mix cantinero,157122.0,cumbia,,,,445.0,es,youtube,https://youtube.com/watch?v=CbKoV0qgmSI,"{""pais"":""PE"",""posicion"":29,""thumbnail"":""https://i.ytimg.com/vi/CbKoV0qgmSI/hqdefault.jpg"",""like_count"":""1433"",""es_infantil"":false,""comment_count"":""102"",""youtube_channel"":""Las Estrellas De La Cumbia"",""youtube_video_id"":""CbKoV0qgmSI"",""artistas_secundarios"":[]}",completed,
953,2026-03-07 04:23:25.686967+00,,la gran dedicacion,ivan villazon,0.0,opera,,recopilacion alberto santos romero,2024.0,299.0,es,spotify_search,https://open.spotify.com/track/4OrTPMldYUE8oIwETmKAYM,"{""pais"":""CO"",""error_letra"":""No encontrada en Genius"",""es_infantil"":false,""todos_artistas"":""Ivan Villazon"",""spotify_track_id"":""4OrTPMldYUE8oIwETmKAYM"",""artistas_secundarios"":[]}",error,
954,2026-03-07 04:27:06.865138+00,,medio friends,danny ocean,0.0,reggaeton,,joyas perdidas,2024.0,149.0,es,spotify_search,https://open.spotify.com/track/2nDL3emXFWE4r4cWcXhTvm,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Danny Ocean"",""spotify_track_id"":""2nDL3emXFWE4r4cWcXhTvm"",""artistas_secundarios"":[]}",completed,
955,2026-03-07 04:27:11.451781+00,,this is colombia,pirlo,0.0,reggaeton,,el androide,2025.0,156.0,es,spotify_search,https://open.spotify.com/track/1pnK2LlYNzYbiJ7KyMgn7E,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Pirlo, El Americano 4KT"",""spotify_track_id"":""1pnK2LlYNzYbiJ7KyMgn7E"",""artistas_secundarios"":[]}",completed,
956,2026-03-07 04:27:16.001601+00,,colombian,tribal kush,0.0,reggaeton,,colombian,2024.0,143.0,es,spotify_search,https://open.spotify.com/track/36189VClfEFA0xZ28LJ0AU,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Tribal Kush, Basta Lion, Kybba"",""spotify_track_id"":""36189VClfEFA0xZ28LJ0AU"",""artistas_secundarios"":[]}",completed,
957,2026-03-07 04:27:20.523756+00,,sanka,ryan castro,0.0,reggaeton,,sende,2025.0,155.0,es,spotify_search,https://open.spotify.com/track/46ufabZP6oK3ixmN6Gd753,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Ryan Castro, Dongo"",""spotify_track_id"":""46ufabZP6oK3ixmN6Gd753"",""artistas_secundarios"":[]}",completed,
958,2026-03-07 04:27:24.981691+00,,ultra complicado ryan castro version,kenny die,0.0,reggaeton,,ultra complicado ryan castro version,2025.0,170.0,es,spotify_search,https://open.spotify.com/track/1No3PlwIHeS3dNTIAjV76S,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Kenny Die, Ryan Castro"",""spotify_track_id"":""1No3PlwIHeS3dNTIAjV76S"",""artistas_secundarios"":[]}",completed,
959,2026-03-07 04:27:29.499187+00,,oe bebe,blessd,0.0,reggaeton,,oe bebe,2024.0,186.0,es,spotify_search,https://open.spotify.com/track/57pj5sOWSCAqZm088LMcE4,"{""pais"":""CO"",""es_infantil"":false,""todos_artistas"":""Blessd, Maluma"",""spotify_track_id"":""57pj5sOWSCAqZm088LMcE4"",""artistas_secundarios"":[]}",completed,
